@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {Cough,nonCough}

@DATA
0.038951,0.058133,2.898501,0.078504,0.122399,0.203361,0.009332,0.056012,-25.503810,1.829052,-0.491971,-0.124388,-0.830371,-0.004328,0.336904,-0.318718,0.125434,-0.189379,-0.227115,0.173343,-0.021119,0.015568,0.007718,0.024771,0.019358,0.020052,0.016320,0.014451,0.004032,0.010380,0.014265,0.015332,0.006900,0.014243,-0.000318,-0.000002,-0.013827,-0.001867,-0.003250,-0.004365,0.000206,0.000039,0.199416,0.024012,-0.006241,-0.000923,0.003827,-0.008889,-0.006925,0.011878,0.004213,-0.008541,-0.003970,-0.001581,-0.005475,0.000361,0.000024,-0.000222,0.000586,-0.001108,0.000080,-0.000034,-0.000032,0.000490,0.000583,-0.000351,0.000005,-0.000067,0.015359,0.059727,0.564502,0.019100,0.042948,0.166146,0.004698,0.031051,2.998261,0.752870,0.401242,0.382774,0.413559,0.344818,0.324512,0.243051,0.283395,0.250071,0.260130,0.212934,0.213863,0.012134,0.007412,0.020273,0.015877,0.019679,0.019847,0.010988,0.005007,0.009647,0.014017,0.009947,0.005555,0.007065,0.011510,0.075068,0.697748,0.022679,0.046901,0.126665,0.004906,0.028999,2.493298,0.595009,0.446878,0.418857,0.351093,0.345219,0.344061,0.298956,0.324957,0.349868,0.298049,0.291589,0.282167,0.014584,0.010925,0.029878,0.020999,0.031457,0.028613,0.012064,0.006718,0.013541,0.019881,0.012766,0.008654,0.010076,Cough
0.041098,0.074171,2.878122,0.082419,0.122293,0.320361,0.009708,0.069409,-25.231816,1.736882,-0.524931,-0.368196,-0.627393,-0.278240,0.550942,-0.205632,0.100299,-0.217874,-0.270010,0.118613,0.062391,0.012345,0.009223,0.015731,0.019525,0.028519,0.016908,0.014951,0.002619,0.007030,0.014751,0.008937,0.009383,0.014987,-0.000786,-0.000035,-0.048247,-0.000462,0.000882,-0.022856,0.000410,-0.003776,-0.242407,0.058927,-0.023960,0.017546,-0.014653,-0.012391,-0.033363,-0.006360,0.012705,0.007244,-0.015118,0.001150,0.015642,0.000410,0.000116,0.000524,-0.000037,-0.001208,-0.000197,-0.000173,-0.000402,0.000017,0.000068,0.000269,0.000877,-0.000233,0.016815,0.074731,0.556683,0.021691,0.045496,0.238451,0.007487,0.038398,3.312229,0.883527,0.336440,0.457989,0.328273,0.366039,0.337323,0.196515,0.210796,0.269679,0.178919,0.232918,0.190123,0.009731,0.012641,0.009945,0.017596,0.025372,0.015514,0.017446,0.002774,0.004741,0.016878,0.009716,0.009146,0.007243,0.012633,0.080995,0.635835,0.032225,0.057847,0.159717,0.007642,0.025618,2.496252,0.753266,0.397966,0.421316,0.334506,0.423767,0.408480,0.272417,0.284886,0.339148,0.244825,0.254147,0.214995,0.013231,0.018365,0.012973,0.023746,0.035983,0.020264,0.022975,0.004107,0.006594,0.013994,0.010947,0.010345,0.008599,Cough
0.028995,0.111818,2.870928,0.080661,0.142625,0.085288,0.009696,0.042333,-24.422014,2.300117,-0.615562,-0.166223,-1.199669,0.057000,0.467587,-0.093232,0.122780,0.000362,-0.096115,-0.045832,0.019144,0.011727,0.013500,0.029510,0.016882,0.011139,0.014698,0.030234,0.008518,0.007145,0.020884,0.013162,0.011600,0.019699,0.000195,-0.000023,0.021398,0.000692,0.001274,0.000123,0.000211,0.000146,0.076612,-0.018944,0.020791,0.047970,-0.021890,0.002675,-0.005565,0.010068,0.000414,0.009585,0.000395,-0.014924,-0.007818,0.000131,-0.000055,0.001239,0.001909,-0.000479,-0.001841,0.000017,0.000271,-0.000103,0.000175,0.000332,0.000368,0.000115,0.008083,0.108193,0.479031,0.024890,0.035641,0.084087,0.006605,0.016859,5.322100,0.655947,0.487598,0.643142,0.409664,0.371995,0.387435,0.284508,0.265804,0.229376,0.316855,0.187827,0.165925,0.008809,0.012837,0.034918,0.016198,0.007938,0.018320,0.029947,0.020589,0.006760,0.018294,0.009636,0.012312,0.007653,0.008837,0.118900,0.650384,0.035826,0.053488,0.092160,0.009910,0.020776,5.202532,0.720001,0.589479,0.570999,0.445361,0.353347,0.412251,0.407585,0.312433,0.287174,0.366697,0.192646,0.249098,0.011326,0.017712,0.033307,0.016728,0.009547,0.024357,0.026336,0.027547,0.009282,0.021203,0.014341,0.014502,0.009256,Cough
0.027209,0.145295,2.874371,0.077159,0.136590,0.129083,0.013125,0.042417,-22.890554,2.429020,-0.342303,-0.135167,-0.814949,-0.294057,0.531492,-0.189923,0.082910,-0.058897,-0.228726,-0.092832,-0.036784,0.013710,0.011224,0.020603,0.026606,0.023543,0.013997,0.020313,0.002511,0.007174,0.031583,0.014181,0.009096,0.019256,-0.000771,0.000001,-0.034299,0.000918,0.003083,-0.004069,0.000100,-0.001271,0.041302,0.050293,0.037814,0.009664,-0.020724,-0.033626,-0.052225,0.012109,-0.004644,0.010980,-0.002397,-0.029729,0.001130,-0.000521,0.001451,-0.001273,0.001538,0.001985,0.001650,-0.000323,-0.000232,-0.000126,0.000052,0.000484,-0.000788,0.000515,0.009510,0.108903,0.510557,0.021014,0.036301,0.116973,0.007824,0.021111,4.020962,0.834464,0.382372,0.595640,0.479316,0.439211,0.406061,0.181116,0.248335,0.264880,0.228457,0.259841,0.180433,0.015913,0.013085,0.017865,0.025453,0.023786,0.015740,0.024074,0.002378,0.006095,0.025541,0.012668,0.010237,0.007446,0.010439,0.126316,0.657930,0.026108,0.045430,0.135618,0.009564,0.026498,4.146480,0.915677,0.448016,0.514976,0.471522,0.509750,0.449123,0.255647,0.341634,0.385838,0.324706,0.278771,0.276733,0.022644,0.018611,0.026537,0.031776,0.028475,0.014441,0.029995,0.002519,0.008902,0.022290,0.017061,0.012320,0.008265,Cough
0.074566,0.007284,2.780833,0.118756,0.133176,0.582299,0.007045,0.098815,-27.099416,-0.450107,-1.471205,0.102531,0.104182,-0.328094,0.024275,0.144303,-0.238801,0.174205,0.034700,-0.117279,0.096143,0.004575,0.006373,0.005165,0.003673,0.011995,0.012556,0.010862,0.005833,0.006173,0.007078,0.008728,0.005304,0.009751,-0.000062,0.000095,-0.039555,-0.001126,-0.001902,-0.016040,0.000716,-0.001883,0.042710,-0.002169,-0.015870,-0.002419,-0.020326,-0.036688,-0.012800,0.014201,0.009357,-0.014792,0.012991,0.018283,0.003920,0.000860,0.001533,0.000188,0.000002,-0.000043,-0.000334,-0.000080,-0.000004,0.000006,-0.000592,-0.003939,-0.000236,-0.000673,0.014251,0.009895,0.543454,0.019713,0.030018,0.329670,0.005923,0.032045,1.887920,0.558212,0.386846,0.355210,0.340263,0.350351,0.397685,0.315096,0.241113,0.222653,0.224218,0.264082,0.229909,0.005426,0.008916,0.005358,0.002905,0.012669,0.011687,0.007870,0.006261,0.007090,0.010391,0.017810,0.005302,0.006498,0.015408,0.013004,0.826835,0.024908,0.040156,0.326536,0.007804,0.033075,2.374532,0.729300,0.440707,0.403126,0.452824,0.424560,0.481213,0.397600,0.268169,0.262163,0.247008,0.302986,0.316978,0.005747,0.009283,0.007201,0.004258,0.016755,0.011578,0.010841,0.008262,0.009993,0.013145,0.018756,0.006413,0.007322,Cough
0.063491,0.014983,2.677162,0.111404,0.136454,0.275450,0.007615,0.080157,-26.660942,-0.527499,-1.660360,0.827929,-0.498216,-0.399883,0.025289,0.084102,0.073515,0.160056,-0.224967,-0.011902,0.046702,0.005695,0.004779,0.005526,0.004633,0.004922,0.005902,0.010275,0.011788,0.006055,0.007613,0.006384,0.011317,0.009206,-0.000129,0.000003,-0.003886,-0.000263,-0.000516,-0.001856,0.000084,-0.000544,-0.001591,-0.016300,-0.002209,0.030810,-0.005042,-0.030053,0.010729,-0.000236,0.005230,0.006154,-0.001747,-0.001390,0.003573,-0.000103,-0.000029,-0.000094,-0.000204,-0.000055,0.000021,0.000129,0.000040,-0.000159,-0.000228,-0.000111,-0.000206,0.000009,0.005144,0.023873,0.597790,0.020060,0.034576,0.160267,0.003607,0.014917,2.191930,0.591514,0.401772,0.358333,0.353042,0.317244,0.293491,0.257657,0.235993,0.269211,0.236023,0.235943,0.190688,0.005325,0.005010,0.009641,0.004843,0.004289,0.006464,0.011901,0.012859,0.005282,0.009720,0.006054,0.014596,0.006249,0.007653,0.033638,0.860824,0.025631,0.042190,0.238346,0.004695,0.024329,2.786569,0.799116,0.521220,0.481905,0.433277,0.426202,0.378503,0.294905,0.324099,0.366584,0.286448,0.264907,0.220539,0.007139,0.005795,0.012700,0.007217,0.006152,0.008359,0.016706,0.018244,0.006090,0.011320,0.006932,0.019272,0.008751,Cough
0.061587,0.030470,2.996331,0.095001,0.117320,0.623676,0.008133,0.095559,-26.954112,0.890724,0.380197,-1.083658,-0.338780,0.103438,-0.017686,0.250633,-0.292501,0.059416,-0.156190,-0.014671,-0.066695,0.010044,0.006971,0.021042,0.019576,0.013936,0.015876,0.011068,0.005552,0.005714,0.004993,0.010211,0.003152,0.014617,0.000548,-0.001298,0.001893,0.000952,0.001068,0.011751,0.000136,0.001551,-0.100754,-0.022332,0.034680,-0.010281,-0.006804,0.018963,-0.013818,0.002477,0.000980,0.022126,0.003674,0.005083,-0.000652,-0.000368,-0.000045,-0.001078,0.000061,0.001632,-0.000232,-0.000050,-0.000022,0.000078,0.000070,-0.000075,-0.000112,0.000212,0.025752,0.042874,0.401021,0.021218,0.037622,0.313652,0.005057,0.032492,3.855505,0.888445,0.800420,0.690706,0.465862,0.284788,0.229136,0.409377,0.299731,0.232319,0.206671,0.211285,0.185692,0.016659,0.009215,0.016188,0.017275,0.019676,0.020334,0.009471,0.005641,0.006501,0.004993,0.016020,0.002240,0.009236,0.020800,0.041130,0.520357,0.025500,0.048745,0.314250,0.007222,0.028241,2.150643,0.919843,0.590671,0.537295,0.382170,0.327908,0.232046,0.443671,0.310556,0.283808,0.232330,0.260656,0.172681,0.021985,0.011498,0.025889,0.021323,0.017218,0.021005,0.012534,0.008198,0.009649,0.006752,0.017904,0.003526,0.010691,Cough
0.089876,0.001986,3.013197,0.159827,0.162298,0.857393,0.004278,0.150793,-30.051311,1.320224,0.215518,0.218382,0.059849,0.152764,0.443849,0.018435,0.372618,0.067560,0.020128,0.325232,0.018587,0.005699,0.004664,0.051430,0.004191,0.012315,0.003742,0.076367,0.001448,0.003800,0.005890,0.058317,0.002429,0.032107,-0.001401,-0.000000,-0.000940,-0.000689,0.000068,-0.016217,0.000034,-0.000390,-0.006237,0.011251,-0.000011,0.005833,0.001090,-0.011962,-0.002850,-0.006158,0.005415,0.010114,0.006013,-0.002993,-0.000481,0.000124,0.000027,0.003496,-0.000031,0.000227,-0.000049,0.000427,0.000101,0.000096,-0.000184,-0.001237,-0.000004,0.000605,0.046582,0.003693,0.268183,0.037494,0.016858,0.507520,0.002629,0.096637,1.777144,0.591374,0.333598,0.414405,0.382744,0.238963,0.244633,0.318358,0.280076,0.288512,0.233748,0.182885,0.171423,0.005327,0.008167,0.039189,0.004661,0.010688,0.006051,0.056586,0.001632,0.005274,0.005220,0.043422,0.002244,0.016506,0.031824,0.003410,0.353253,0.025058,0.021360,0.393590,0.003615,0.072385,1.028853,0.500888,0.320038,0.310333,0.338255,0.262525,0.235469,0.298057,0.284123,0.277900,0.248847,0.219617,0.199365,0.005906,0.010369,0.045494,0.005907,0.012787,0.007574,0.056813,0.002021,0.005456,0.006712,0.043833,0.002977,0.014213,Cough
0.086207,0.007598,3.019713,0.158765,0.166622,0.825107,0.005930,0.137427,-28.167120,1.601421,0.316970,-0.040701,0.101517,0.030426,0.311676,-0.016171,0.250151,0.029100,0.021460,0.372835,0.114897,0.005325,0.002167,0.070643,0.005557,0.013277,0.007639,0.047192,0.001339,0.007195,0.011229,0.050621,0.002244,0.030622,-0.004847,-0.000009,-0.004628,-0.003556,-0.000822,-0.051249,0.000166,-0.009332,-0.038210,0.023325,0.003180,0.009948,0.009798,0.008247,-0.003675,0.012366,0.007259,0.012129,0.008033,-0.005548,-0.000450,-0.000075,-0.000040,0.005562,-0.000126,-0.000020,-0.000071,0.001041,-0.000040,-0.000027,-0.000047,0.000249,-0.000003,0.001368,0.054030,0.011906,0.171206,0.035905,0.020632,0.541216,0.004664,0.111943,2.090483,0.536967,0.311845,0.520414,0.297495,0.305526,0.326526,0.352944,0.235437,0.250972,0.228265,0.184306,0.148161,0.004386,0.001926,0.050832,0.005792,0.012186,0.009785,0.039911,0.001165,0.011670,0.017834,0.041286,0.002484,0.014216,0.041104,0.011826,0.229280,0.029314,0.024155,0.481079,0.005719,0.097181,1.428242,0.542801,0.351792,0.422929,0.306298,0.323961,0.400970,0.371611,0.305213,0.271960,0.257210,0.264955,0.194155,0.005987,0.002571,0.052462,0.007993,0.016960,0.013771,0.044400,0.001671,0.016606,0.022638,0.052260,0.002984,0.014586,Cough
0.019093,0.006111,2.831016,0.095836,0.170026,0.147272,0.101425,0.028533,-35.208782,1.544101,0.297497,0.451632,-0.288443,0.129801,0.047501,0.013794,0.051760,0.106918,0.021547,0.051054,0.085220,0.002572,0.001074,0.019549,0.004088,0.099615,0.002998,0.074044,0.000579,0.003215,0.002810,0.006460,0.001603,0.041436,0.000071,-0.000034,-0.018753,0.003096,0.004747,0.000404,-0.008695,0.000057,0.115293,0.018494,0.001774,0.000835,-0.001589,-0.001937,-0.004529,-0.005391,-0.006000,-0.006363,-0.007692,-0.006938,-0.006742,0.000049,0.000003,0.000728,0.000027,-0.001684,0.000012,0.003863,0.000002,0.000005,0.000074,0.000038,0.000004,-0.000050,0.021878,0.014059,0.473218,0.033915,0.051972,0.181581,0.120164,0.033407,5.296300,0.890132,0.477731,0.442974,0.546536,0.280360,0.346217,0.286207,0.255158,0.190401,0.229450,0.204796,0.147979,0.004766,0.002401,0.025951,0.009101,0.054312,0.005520,0.082767,0.001083,0.007916,0.004558,0.010266,0.002957,0.016691,0.019395,0.013392,0.614636,0.048270,0.064844,0.179018,0.142722,0.031417,4.794510,0.876251,0.480114,0.466897,0.540678,0.335296,0.365942,0.293560,0.297510,0.243572,0.272510,0.238129,0.192293,0.005887,0.003715,0.036734,0.010764,0.069456,0.006683,0.123223,0.001416,0.010816,0.005630,0.012989,0.004044,0.020246,Cough
0.018643,0.014551,2.762456,0.095051,0.174628,0.110897,0.047554,0.025161,-33.489358,2.069728,0.053802,0.348606,-0.359812,-0.218795,0.167171,-0.004172,0.075763,0.044798,-0.036782,-0.068213,0.018176,0.007700,0.002936,0.018135,0.003620,0.090896,0.005406,0.058245,0.001863,0.003535,0.005509,0.009570,0.003553,0.034645,-0.000237,0.000022,0.031897,-0.000910,-0.000436,-0.000890,-0.003298,-0.000066,0.301774,0.034950,-0.000483,-0.013011,0.016302,-0.002871,-0.006186,0.017400,-0.014237,-0.003980,0.020111,-0.010463,0.004931,-0.000013,-0.000005,-0.000381,-0.000018,0.002451,-0.000010,-0.006265,-0.000001,-0.000005,-0.000014,-0.000229,-0.000013,-0.001093,0.019787,0.020729,0.483222,0.032079,0.042654,0.158245,0.063304,0.030121,4.691861,0.982718,0.569279,0.414155,0.540778,0.441250,0.343265,0.281658,0.256745,0.232903,0.247916,0.209181,0.158673,0.011795,0.005210,0.021971,0.005288,0.046797,0.009000,0.060509,0.004223,0.005323,0.008971,0.012592,0.006339,0.013760,0.015879,0.019510,0.583627,0.038436,0.049465,0.149883,0.082689,0.029280,3.430938,0.863075,0.519076,0.442450,0.507022,0.401149,0.346642,0.301671,0.289235,0.310242,0.289378,0.244415,0.195543,0.012818,0.006777,0.030136,0.007182,0.052576,0.011997,0.085323,0.005775,0.006330,0.009814,0.015594,0.008658,0.015314,Cough
0.027006,0.019467,2.697910,0.119115,0.184369,0.225388,0.051245,0.039440,-33.543400,1.396547,0.037032,0.443309,-0.445545,-0.090510,0.224757,-0.042453,0.126169,0.148337,-0.049789,-0.035339,0.089844,0.003481,0.002168,0.016760,0.002059,0.074824,0.002114,0.071690,0.003606,0.005496,0.008841,0.007712,0.002931,0.035076,0.000320,-0.000000,0.001497,0.000638,0.000333,0.002524,0.000611,0.000481,0.015218,-0.006827,-0.007555,0.005272,-0.001598,0.002903,-0.004300,-0.005833,0.007949,0.002226,-0.001842,0.003559,0.003479,0.000006,0.000002,0.000123,0.000003,-0.000820,0.000002,0.000199,-0.000181,0.000453,0.000095,0.000036,0.000064,-0.000243,0.025922,0.022956,0.505830,0.041657,0.047237,0.262913,0.069725,0.043286,5.101506,1.122859,0.543501,0.518859,0.610057,0.373581,0.379045,0.322760,0.259440,0.258404,0.284970,0.256350,0.208736,0.005339,0.004078,0.024006,0.003448,0.050579,0.003451,0.083135,0.007239,0.010597,0.015670,0.010287,0.005034,0.018749,0.021973,0.025739,0.692370,0.052398,0.054185,0.281587,0.085348,0.042249,3.557850,1.021380,0.594485,0.561373,0.482875,0.404133,0.407032,0.376227,0.277695,0.279021,0.317783,0.282727,0.223432,0.006055,0.005157,0.031293,0.004530,0.062098,0.004420,0.111418,0.009011,0.012215,0.019099,0.012973,0.006298,0.020444,Cough
0.018298,0.008947,2.698175,0.101327,0.175290,0.152975,0.064906,0.027481,-33.585391,2.064498,0.263905,0.329215,-0.224484,0.017571,0.054526,0.033984,0.245443,0.015190,0.039667,-0.000077,-0.004672,0.005584,0.002708,0.025992,0.003498,0.086221,0.002530,0.082907,0.000520,0.002515,0.004942,0.011233,0.004024,0.040159,-0.000120,0.000000,-0.000498,-0.000063,0.000058,-0.000211,0.000045,-0.000254,-0.001435,0.001922,-0.002677,-0.002763,0.005419,0.000540,0.001434,0.003190,-0.001273,-0.000087,0.000111,-0.002524,0.001092,-0.000014,-0.000001,-0.000049,-0.000005,0.000482,-0.000052,-0.000106,-0.000001,-0.000033,-0.000060,-0.000191,-0.000011,0.000065,0.020952,0.012994,0.491080,0.039341,0.050583,0.192269,0.070616,0.033680,4.722516,1.018856,0.633654,0.465914,0.550121,0.366216,0.295695,0.277287,0.327890,0.207252,0.220359,0.198036,0.186060,0.008575,0.004740,0.031724,0.006266,0.052740,0.005167,0.083187,0.000897,0.004317,0.007498,0.014592,0.007552,0.018140,0.019208,0.011221,0.670322,0.049845,0.064252,0.190625,0.087237,0.033078,4.101880,1.100251,0.706216,0.561067,0.566988,0.424386,0.360253,0.324536,0.350547,0.253311,0.267695,0.235617,0.239080,0.010965,0.006456,0.043416,0.007916,0.068257,0.006675,0.117059,0.001038,0.004971,0.008992,0.017604,0.009686,0.022618,Cough
0.020301,0.003701,2.708796,0.127061,0.197375,0.205716,0.047734,0.020878,-36.193011,1.966971,0.314095,0.284908,-0.128576,-0.058176,-0.019633,-0.051430,0.071356,0.109085,0.034975,0.025174,0.045908,0.004562,0.001498,0.027886,0.004558,0.092925,0.008490,0.081567,0.000589,0.003362,0.005953,0.010687,0.003079,0.044316,0.001504,-0.000000,-0.003222,0.008388,0.003001,0.031424,-0.001046,-0.000869,-0.224175,-0.179497,-0.014555,0.010473,0.028206,0.049946,0.024984,0.011189,0.010985,0.003691,-0.000599,-0.013621,-0.014623,-0.000323,-0.000052,0.008411,-0.000492,-0.003364,-0.004025,0.017245,0.000005,-0.001201,-0.000839,-0.000193,-0.000057,0.004408,0.019668,0.006088,0.531647,0.037678,0.046794,0.182238,0.057107,0.032369,5.333053,0.957680,0.560948,0.555218,0.475175,0.352498,0.324937,0.254665,0.233882,0.245874,0.178798,0.179230,0.182007,0.008124,0.003657,0.036148,0.010113,0.061084,0.021522,0.082723,0.001224,0.007591,0.011007,0.016546,0.007747,0.016861,0.018441,0.005353,0.767957,0.053766,0.057732,0.235665,0.078649,0.034707,3.816979,1.192509,0.696003,0.555407,0.492338,0.393287,0.314224,0.290859,0.261178,0.275407,0.232102,0.208329,0.220276,0.010713,0.004862,0.044311,0.013516,0.073968,0.029274,0.105042,0.001541,0.011243,0.013394,0.017046,0.009840,0.018327,Cough
0.098012,0.008042,3.010869,0.154297,0.158816,0.833244,0.005221,0.162854,-28.894699,1.023723,0.487487,0.502143,-0.548360,0.076698,0.124972,0.124031,0.034413,-0.176385,0.055411,-0.021122,0.079034,0.015811,0.004855,0.041518,0.009478,0.015002,0.007805,0.017877,0.001886,0.005176,0.008833,0.019172,0.004311,0.016311,-0.000820,-0.000002,0.002600,0.000120,0.000641,0.008183,-0.000026,-0.000377,0.007170,0.014137,0.013698,0.007038,0.016307,-0.009274,-0.014733,-0.003734,-0.005112,-0.004372,-0.027399,-0.030672,-0.016429,-0.000241,0.000067,0.000001,0.000030,-0.000045,0.000266,0.000253,0.000068,-0.000004,-0.000064,0.001039,-0.000106,0.000047,0.039367,0.014503,0.343315,0.033600,0.019372,0.425566,0.003258,0.072428,2.888490,0.726242,0.379624,0.504169,0.460551,0.312570,0.262904,0.261336,0.274028,0.305220,0.233329,0.259828,0.228665,0.020422,0.005637,0.038008,0.010410,0.013338,0.009234,0.017650,0.002068,0.006850,0.008404,0.016575,0.003621,0.010377,0.028840,0.015120,0.446440,0.028557,0.023182,0.362577,0.003857,0.065043,2.153526,0.638230,0.368076,0.528537,0.437642,0.340837,0.302795,0.281456,0.307480,0.316629,0.283071,0.268383,0.272334,0.027009,0.006991,0.039957,0.013923,0.015789,0.012132,0.018769,0.002585,0.008826,0.009777,0.021255,0.004656,0.010872,Cough
